date,open,high,low,close,dividend
2015-05-18,27.191,27.417,27.1125,27.3335,0.0
2015-05-19,27.4,27.67,27.356,27.464,0.0
2015-05-20,27.546,27.8035,27.255,27.6255,0.0
2015-05-21,27.51,27.8805,27.465,27.8405,0.0
2015-05-22,27.723,27.912,27.681,27.726,0.0
2015-05-26,27.629,27.6665,27.1485,27.3595,0.0
2015-05-27,27.434,27.7645,27.329,27.7125,0.0
2015-05-28,27.6895,27.788,27.54,27.709,0.0
2015-05-29,27.66,27.697,27.252,27.266,0.0
2015-06-01,27.4365,27.5285,27.179,27.4605,0.0
2015-06-02,27.3715,27.9395,27.3275,27.6975,0.0
2015-06-03,27.755,27.8995,27.6075,27.7645,0.0
2015-06-04,27.609,27.798,27.456,27.5845,0.0
2015-06-05,27.6,27.6665,27.369,27.4765,0.0
2015-06-08,27.4805,27.4935,27.1475,27.174,0.0
2015-06-09,27.171,27.242,26.9425,27.108,0.0
2015-06-10,27.285,27.739,27.2555,27.63,0.0
2015-06-11,27.7245,27.7415,27.4585,27.502,0.0
2015-06-12,27.3575,27.4425,27.2815,27.3735,0.0
2015-06-15,27.1365,27.2025,26.9605,27.15,0.0
2015-06-16,27.224,27.3345,27.0785,27.2435,0.0
2015-06-17,27.271,27.418,27.0905,27.33,0.0
2015-06-18,27.4,27.8625,27.4,27.809,0.0
2015-06-19,27.826,27.8955,27.613,27.876,0.0
2015-06-22,27.9705,28.2805,27.9455,27.984,0.0
2015-06-23,27.9895,28.245,27.8575,28.1695,0.0
2015-06-24,28.124,28.132,27.8405,27.9285,0.0
2015-06-25,28.015,28.157,27.873,27.8975,0.0
2015-06-26,27.9855,28.0,27.5925,27.653,0.0
2015-06-29,27.3375,27.545,27.012,27.0625,0.0
2015-06-30,27.2545,27.295,26.977,27.002,0.0
2015-07-01,27.183,27.2905,26.988,27.165,0.0
2015-07-02,27.237,27.4,27.1785,27.367,0.0
2015-07-06,27.1125,27.429,27.105,27.281,0.0
2015-07-07,27.3715,27.55,26.9925,27.5015,0.0
2015-07-08,27.28,27.414,27.06,27.085,0.0
2015-07-09,27.4325,27.444,27.231,27.2325,0.0
2015-07-10,27.6855,27.9645,27.6,27.8055,0.0
2015-07-13,27.9755,28.6425,27.935,28.5865,0.0
2015-07-14,28.725,29.4855,28.7085,29.209,0.0
2015-07-15,29.187,29.4345,29.0105,29.198,0.0
2015-07-16,29.475,30.225,29.396,30.089,0.0
2015-07-17,34.0,35.15,33.9,34.981,0.0
2015-07-20,34.449,34.89,34.0885,34.642,0.0
2015-07-21,34.244,35.28,34.2075,34.7675,0.0
2015-07-22,34.701,35.6665,34.581,34.755,0.0
2015-07-23,34.5925,34.8035,33.5795,33.7365,0.0
2015-07-24,33.8385,33.8895,32.659,32.7385,0.0
2015-07-27,32.5785,33.3535,32.5775,32.9135,0.0
