date,open,high,low,close,dividend
2021-07-26,289.0,289.69,286.64,289.05,0.0
2021-07-27,289.43,289.58,282.95,286.54,0.0
2021-07-28,288.99,290.15,283.83,286.22,0.0
2021-07-29,286.24,288.62,286.08,286.5,0.0
2021-07-30,285.17,286.66,283.91,284.91,0.0
2021-08-02,286.36,286.77,283.74,284.82,0.0
2021-08-03,285.42,287.23,284.0,287.12,0.0
2021-08-04,286.22,287.59,284.65,286.51,0.0
2021-08-05,286.88,289.63,286.1,289.52,0.0
2021-08-06,288.51,289.5,287.62,289.46,0.0
2021-08-09,289.75,291.55,287.81,288.33,0.0
2021-08-10,288.8,289.25,285.2,286.44,0.0
2021-08-11,287.21,288.66,285.86,286.95,0.0
2021-08-12,286.63,289.97,286.34,289.81,0.0
2021-08-13,289.48,292.9,289.3,292.85,0.0
2021-08-16,293.19,294.82,290.02,294.6,0.0
2021-08-17,292.39,293.43,291.08,293.08,0.0
2021-08-18,292.04,294.82,290.27,290.73,0.5600
2021-08-19,288.69,297.47,288.64,296.77,0.0
2021-08-20,299.72,305.84,298.06,304.36,0.0
2021-08-23,303.25,305.4,301.85,304.65,0.0
2021-08-24,305.02,305.65,302.0,302.62,0.0
2021-08-25,304.3,304.59,300.42,302.01,0.0
2021-08-26,300.99,302.43,298.95,299.09,0.0
2021-08-27,298.99,300.87,296.83,299.72,0.0
2021-08-30,301.12,304.22,301.06,303.59,0.0
2021-08-31,304.42,304.5,301.5,301.88,0.0
2021-09-01,302.87,305.19,301.49,301.83,0.0
2021-09-02,302.2,303.36,300.18,301.15,0.0
2021-09-03,300.99,302.6,300.26,301.14,0.0
2021-09-07,301.01,301.09,298.2,300.18,0.0
2021-09-08,299.78,300.61,297.47,300.21,0.0
2021-09-09,300.82,302.14,297.0,297.25,0.0
2021-09-10,298.42,299.92,295.38,295.71,0.0
2021-09-13,297.55,298.54,294.08,296.99,0.0
2021-09-14,299.56,301.39,298.1,299.79,0.0
2021-09-15,303.26,305.32,301.82,304.82,0.0
2021-09-16,303.76,305.31,300.76,305.22,0.0
2021-09-17,304.17,304.5,299.53,299.87,0.0
2021-09-20,296.33,298.72,289.52,294.3,0.0
2021-09-21,295.69,297.54,294.07,294.8,0.0
2021-09-22,296.73,300.22,294.51,298.58,0.0
2021-09-23,298.85,300.9,297.53,299.56,0.0
2021-09-24,298.23,299.8,296.93,299.35,0.0
2021-09-27,296.14,296.47,292.94,294.17,0.0
2021-09-28,289.8,290.78,282.75,283.52,0.0
2021-09-29,285.1,286.77,283.01,284.0,0.0
2021-09-30,285.71,287.83,281.62,281.92,0.0
2021-10-01,282.12,289.98,281.29,289.1,0.0
2021-10-04,287.4,287.75,280.25,283.11,0.0
2021-10-05,284.05,290.4,284.05,288.76,0.0
2021-10-06,285.78,293.63,285.51,293.11,0.0
2021-10-07,295.18,296.64,293.92,294.85,0.0
2021-10-08,296.22,296.64,293.76,294.85,0.0
2021-10-11,292.92,297.97,292.75,294.23,0.0
